image_path,blazer_color,tie_color,shoe_color,shirt_color,pant_color
./image_dataset\men_wearing_beige_blazer_with_beige_shoes\000001.jpg,beige,,beige shoes,pale brown,white
./image_dataset\men_wearing_beige_blazer_with_beige_shoes\000002.jpg,beige,,beige shoes,white,white
./image_dataset\men_wearing_beige_blazer_with_beige_shoes\000003.jpg,beige,,beige shoes,white,Blue
./image_dataset\men_wearing_beige_blazer_with_beige_shoes\000004.jpg,beige,,beige shoes,pale brown,black
./image_dataset\men_wearing_beige_blazer_with_beige_shoes\000005.jpg,beige,,beige shoes,beige,black
./image_dataset\men_wearing_beige_blazer_with_black_shoes\000001.jpg,beige,,black shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_black_shoes\000002.jpg,beige,,black shoes,black,white
./image_dataset\men_wearing_beige_blazer_with_black_shoes\000003.jpg,beige,,black shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_black_shoes\000004.jpg,beige,,black shoes,pale brown,white
./image_dataset\men_wearing_beige_blazer_with_black_shoes\000005.jpg,beige,,black shoes,white,brown
./image_dataset\men_wearing_beige_blazer_with_blue_tie\000001.jpg,beige,blue tie,,pale brown,baby pink
./image_dataset\men_wearing_beige_blazer_with_blue_tie\000002.jpg,beige,blue tie,,pale brown,white
./image_dataset\men_wearing_beige_blazer_with_blue_tie\000003.jpg,beige,blue tie,,baby pink,white
./image_dataset\men_wearing_beige_blazer_with_blue_tie\000004.jpg,beige,blue tie,,white,white
./image_dataset\men_wearing_beige_blazer_with_blue_tie\000005.jpg,beige,blue tie,,baby pink,black
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_beige_shoes\000001.jpg,beige,blue tie,beige shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_beige_shoes\000002.jpg,beige,blue tie,beige shoes,white,brown
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_beige_shoes\000003.jpg,beige,blue tie,beige shoes,white,brown
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_beige_shoes\000004.jpg,beige,blue tie,beige shoes,white,white
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_beige_shoes\000005.jpg,beige,blue tie,beige shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_black_shoes\000001.jpg,beige,blue tie,black shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_black_shoes\000002.jpg,beige,blue tie,black shoes,baby pink,brown
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_black_shoes\000003.jpg,beige,blue tie,black shoes,baby pink,baby pink
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_black_shoes\000004.jpg,beige,blue tie,black shoes,white,black
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_black_shoes\000005.jpg,beige,blue tie,black shoes,baby pink,baby pink
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_brown_shoes\000001.jpg,beige,blue tie,brown shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_brown_shoes\000002.jpg,beige,blue tie,brown shoes,pale brown,Blue
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_brown_shoes\000003.jpg,beige,blue tie,brown shoes,pale brown,white
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_brown_shoes\000004.jpg,beige,blue tie,brown shoes,pale brown,black
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_brown_shoes\000005.jpg,beige,blue tie,brown shoes,baby pink,baby pink
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_grey_shoes\000001.jpg,beige,blue tie,grey shoes,black,Blue
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_grey_shoes\000002.jpg,beige,blue tie,grey shoes,black,Blue
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_grey_shoes\000003.jpg,beige,blue tie,grey shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_grey_shoes\000004.jpg,beige,blue tie,grey shoes,baby pink,black
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_grey_shoes\000005.jpg,beige,blue tie,grey shoes,beige,Blue
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_white_shoes\000001.jpg,beige,blue tie,white shoes,white,white
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_white_shoes\000002.jpg,beige,blue tie,white shoes,black,white
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_white_shoes\000003.jpg,beige,blue tie,white shoes,pale brown,baby pink
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_white_shoes\000004.jpg,beige,blue tie,white shoes,black,white
./image_dataset\men_wearing_beige_blazer_with_blue_tie_and_white_shoes\000005.jpg,beige,blue tie,white shoes,beige,Blue
./image_dataset\men_wearing_beige_blazer_with_brown_shoes\000001.jpg,beige,,brown shoes,beige,Blue
./image_dataset\men_wearing_beige_blazer_with_brown_shoes\000002.jpg,beige,,brown shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_brown_shoes\000003.jpg,beige,,brown shoes,black,Blue
./image_dataset\men_wearing_beige_blazer_with_brown_shoes\000004.jpg,beige,,brown shoes,beige,white
./image_dataset\men_wearing_beige_blazer_with_brown_shoes\000005.jpg,beige,,brown shoes,white,baby pink
./image_dataset\men_wearing_beige_blazer_with_green_tie\000001.jpg,beige,green tie,,white,brown
./image_dataset\men_wearing_beige_blazer_with_green_tie\000002.jpg,beige,green tie,,black,white
./image_dataset\men_wearing_beige_blazer_with_green_tie\000003.jpg,beige,green tie,,white,baby pink
./image_dataset\men_wearing_beige_blazer_with_green_tie\000004.jpg,beige,green tie,,beige,white
./image_dataset\men_wearing_beige_blazer_with_green_tie\000005.jpg,beige,green tie,,beige,brown
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_beige_shoes\000001.jpg,beige,green tie,beige shoes,baby pink,Blue
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_beige_shoes\000002.jpg,beige,green tie,beige shoes,beige,brown
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_beige_shoes\000003.jpg,beige,green tie,beige shoes,white,Blue
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_beige_shoes\000004.jpg,beige,green tie,beige shoes,pale brown,brown
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_beige_shoes\000005.jpg,beige,green tie,beige shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_black_shoes\000001.jpg,beige,green tie,black shoes,baby pink,white
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_black_shoes\000002.jpg,beige,green tie,black shoes,white,white
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_black_shoes\000003.jpg,beige,green tie,black shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_black_shoes\000004.jpg,beige,green tie,black shoes,white,Blue
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_black_shoes\000005.jpg,beige,green tie,black shoes,baby pink,white
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_brown_shoes\000001.jpg,beige,green tie,brown shoes,beige,black
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_brown_shoes\000002.jpg,beige,green tie,brown shoes,pale brown,white
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_brown_shoes\000003.jpg,beige,green tie,brown shoes,baby pink,baby pink
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_brown_shoes\000004.jpg,beige,green tie,brown shoes,beige,Blue
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_brown_shoes\000005.jpg,beige,green tie,brown shoes,baby pink,baby pink
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_grey_shoes\000001.jpg,beige,green tie,grey shoes,black,Blue
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_grey_shoes\000002.jpg,beige,green tie,grey shoes,pale brown,black
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_grey_shoes\000003.jpg,beige,green tie,grey shoes,white,Blue
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_grey_shoes\000004.jpg,beige,green tie,grey shoes,white,Blue
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_grey_shoes\000005.jpg,beige,green tie,grey shoes,pale brown,black
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_white_shoes\000001.jpg,beige,green tie,white shoes,black,Blue
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_white_shoes\000002.jpg,beige,green tie,white shoes,beige,white
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_white_shoes\000003.jpg,beige,green tie,white shoes,white,brown
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_white_shoes\000004.jpg,beige,green tie,white shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_green_tie_and_white_shoes\000005.jpg,beige,green tie,white shoes,white,brown
./image_dataset\men_wearing_beige_blazer_with_grey_shoes\000001.jpg,beige,,grey shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_grey_shoes\000002.jpg,beige,,grey shoes,beige,black
./image_dataset\men_wearing_beige_blazer_with_grey_shoes\000003.jpg,beige,,grey shoes,black,baby pink
./image_dataset\men_wearing_beige_blazer_with_grey_shoes\000004.jpg,beige,,grey shoes,pale brown,baby pink
./image_dataset\men_wearing_beige_blazer_with_grey_shoes\000005.jpg,beige,,grey shoes,beige,Blue
./image_dataset\men_wearing_beige_blazer_with_purple_tie\000001.jpg,beige,purple tie,,black,brown
./image_dataset\men_wearing_beige_blazer_with_purple_tie\000002.jpg,beige,purple tie,,beige,black
